#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58594o0196o,115.957272174,56.71729,20.17,0.7,1.11,o,22.236,58594.3108018,4826.24,1882.75,206,180,16.5,14.9,181.6,1597,1206.3,1.03,2.99,2.72,1,3,-0.439
01a58594o0211o,115.957272174,56.71729,>19.35,0,3,o,22.232,58594.3177869,4821.09,2000.95,176,180.3,-7.3,13.9,181.7,1053.4,1133.3,1.05,3.4,3,1,3,-0.41
02a58596o0174o,115.957272174,56.71729,>20.22,0,3,o,22.055,58596.3002229,463.23,4873.14,187,178.7,-14.4,12.2,179.1,-421.7,737.8,1.2,2.28,1.95,1,3,-0.429
02a58596o0194o,115.957272174,56.71729,>20.06,0,3,o,22.05,58596.30946,442.42,4834.35,191,178.2,0.8,13.1,176.1,285.2,789.1,1,2.36,2.02,1,3,-0.419
02a58596o0199o,115.957272174,56.71729,>20.29,0,3,o,22.059,58596.3117701,9586.12,4904.02,172,181.2,-10.2,11.1,181.4,387.8,579.3,0.97,2.3,1.99,1,3,-0.423
02a58596o0215o,115.957272174,56.71729,>20.21,0,3,o,22.044,58596.3202279,507.54,4903.57,158,179.1,2.3,13.4,177.9,623.4,789.8,1.34,2.19,1.85,1,3,-0.437
02a58596o0217o,115.957272174,56.71729,>20.26,0,3,o,22.056,58596.3211581,9563.9,4860.52,184,179.2,7.7,11.8,180.6,1068.8,650.9,1.03,2.29,1.93,1,3,-0.421
02a58596o0231o,115.957272174,56.71729,>20.03,0,3,o,22.04,58596.3276509,529.45,4784.07,203,179.9,5.9,13.9,175.9,246.5,862.2,1.19,2.31,1.98,1,3,-0.421
02a58596o0235o,115.957272174,56.71729,>20.17,0,3,o,22.052,58596.3294941,9626.85,4939.88,191,182,-4,12.1,179.5,21.8,603.1,0.97,2.31,2.02,1,3,-0.422
02a58596o0252o,115.957272174,56.71729,>20.25,0,3,o,22.047,58596.33755,9648.11,4822.67,186,182,3.9,11.8,180.3,666,721,1.03,2.28,1.95,1,3,-0.427
01a58598o0151o,115.957272174,56.71729,>19.88,0,3,o,22.225,58598.2903319,9707.11,9478.59,157,183.2,5.7,9.2,183.1,1018.2,797.9,1.11,3.31,2.86,1,3,-0.416
01a58598o0164o,115.957272174,56.71729,None,None,None,o,22.234,58598.2963882,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.416
01a58598o0170o,115.957272174,56.71729,>19.93,0,3,o,22.221,58598.2991814,9729.46,9520.97,195,180.8,-8.7,9.3,181.6,-253.9,734.3,0.86,3.18,2.79,1,3,-0.425
01a58598o0173o,115.957272174,56.71729,>19.74,0,3,o,22.231,58598.3005728,87.18,9603.46,182,186.4,-279.7,11,132,-17856.2,979.1,47.61,3.24,2.79,1,3,-0.4175
01a58598o0188o,115.957272174,56.71729,>19.83,0,3,o,22.217,58598.3075792,9662.09,9449.28,181,181.1,-2.8,9.9,181,1006.7,716.6,1.1,3.23,2.81,1,3,-0.422
01a58598o0191o,115.957272174,56.71729,>19.75,0,3,o,22.228,58598.3089782,108.28,9641.06,177,182.5,1.1,12,185.3,2131.3,957,0.84,2.99,2.72,1,3,-0.44
01a58598o0199o,115.957272174,56.71729,16.11,0.45,1.93,o,22.226,58598.3126801,5727.05,28.83,158,171.1,622,322.3,-33,-238240,19401,0.22,3.21,2.82,1,3,-0.42
01a58598o0207o,115.957272174,56.71729,>19.86,0,3,o,22.212,58598.3164753,9642.32,9571.26,146,181.7,-5,10.2,182.1,955.7,858.5,1.11,3.15,2.72,1,3,-0.426
01a58598o0210o,115.957272174,56.71729,>19.47,0,3,o,22.224,58598.317871,42.63,9557.57,222,191.6,7.3,16.3,200.1,4998.8,1383.3,1.05,2.88,2.69,1,3,-0.442
02a58600o0172o,115.957272174,56.71729,>19.46,0,3,o,21.247,58600.301789,3381.25,2822.21,180,181.5,7.9,10.3,181.6,-211.4,631.3,1.09,2.47,2.03,1,3,-0.445
02a58600o0192o,115.957272174,56.71729,>19.67,0,3,o,21.32,58600.3111148,3357.97,2780.81,205,181.7,-1.4,10.5,183.9,-133.4,566.9,1.52,2.23,1.96,1,3,-0.449
02a58600o0213o,115.957272174,56.71729,>17.45,0,3,o,19.21,58600.3209253,3420.07,2860.67,157,184.6,5.4,10.1,185.2,-7.5,667.9,1.23,2.38,2.1,1,3,-0.426
02a58600o0232o,115.957272174,56.71729,19.33,0.68,1.15,o,20.564,58600.3297535,3433.66,2736.43,201,196.8,14.7,12.8,195.2,-228.1,851.1,0.82,2.21,1.91,1,3,-0.446
02a58604o0123c,115.957272174,56.71729,>20.14,0,3,c,22.042,58604.294507,3755.42,8635.79,174,182.6,-12.8,8.7,179.9,255.9,518.5,1.08,2.69,2.47,1,3,-0.399
02a58604o0145c,115.957272174,56.71729,>20.31,0,3,c,22.029,58604.305012,3732.83,8595.43,165,183.5,-2.5,7.5,180.8,1536.7,574.8,0.94,2.55,2.55,1,3,-0.399
02a58604o0166c,115.957272174,56.71729,>20.18,0,3,c,22.015,58604.3151111,3786.41,8668.51,182,0,-27.5,8.7,183.6,129844,494.8,0.96,2.61,2.39,1,3,-0.4
02a58604o0188c,115.957272174,56.71729,>20.24,0,3,c,21.996,58604.3256502,3808.6,8548.13,178,183,-17.1,8.2,184.4,681.9,606,0.94,2.6,2.37,1,3,-0.396
01a58610o0009o,115.957272174,56.71729,>19.83,0,3,o,22.191,58610.2988021,1211.39,7683.27,180,180,-3,7.5,179,-171.1,709.1,1.26,3.78,3.11,1,3,-0.378
01a58610o0011o,115.957272174,56.71729,None,None,None,o,22.175,58610.299723,None,None,None,None,None,None,None,None,None,None,None,None,1,3,-0.415
01a58610o0027o,115.957272174,56.71729,>19.93,0,3,o,22.187,58610.3071969,1233.84,7723.42,194,180.5,5.5,7.6,181.4,1193.5,644.4,1.31,3.58,2.94,1,3,-0.393
01a58610o0028o,115.957272174,56.71729,>19.25,0,3,o,22.171,58610.3076568,10517.1,7438.97,180,175.9,-2.9,14.9,188.2,7458.9,1189.8,0.71,3.45,2.88,1,3,-0.399
01a58610o0046o,115.957272174,56.71729,>19.88,0,3,o,22.181,58610.3161187,1168.41,7643.3,143,181.4,-11.8,8,182.1,-95.1,631.2,0.92,3.55,2.94,1,3,-0.396
01a58610o0048o,115.957272174,56.71729,>19.57,0,3,o,22.161,58610.317052,10508.1,7562.4,205,177.7,1.2,11.6,180.8,1000.1,941,1.07,3.3,2.83,1,3,-0.413
01a58610o0064o,115.957272174,56.71729,>19.89,0,3,o,22.175,58610.3245539,1149.72,7758.22,200,180.3,2.3,8.3,181.3,769.5,734.6,1.09,3.42,2.9,1,3,-0.403
02a58612o0026c,115.957272174,56.71729,>20.02,0,3,c,22.247,58612.2428715,8972.47,1377.7,197,179.8,13.4,13.5,179.2,417.3,970.3,1.04,2.55,2.25,1,3,-0.386
02a58612o0030c,115.957272174,56.71729,>20.02,0,3,c,22.245,58612.2447349,8945.25,1333.43,177,181.5,-8.8,11.5,180.4,568.3,827.3,0.88,2.92,2.31,1,3,-0.368
02a58612o0040c,115.957272174,56.71729,>20.35,0,3,c,22.242,58612.2494288,9009.57,1416.28,152,182.6,-19,10.3,182.3,435,605.9,1,2.52,2.21,1,3,-0.39
02a58612o0074c,115.957272174,56.71729,>20.29,0,3,c,22.231,58612.2653149,9029.31,1296.92,178,180.1,-12,10.4,178.9,-667.3,766.6,0.9,2.4,2.4,1,3,-0.393
