#expname,ra,dec,mag,dm,snr,filter,zp,mjd,x,y,peakval,skyval,peakfit,dpeak,skyfit,flux,dflux,chin,major,minor,snrdet,snrlimit,apfit
01a58669o0187o,325.887236127,43.5495187324,>20.22,0.0,3.0,o,22.204,58669.5602149,8191.48,8015.11,190.0,179.3,-1.2,6.7,176.9,-410.3,528.7,2.0,3.14,2.95,1.0,3.0,-0.435
01a58669o0201o,325.887236127,43.5495187324,>20.22,0.0,3.0,o,22.221,58669.5667028,8131.27,7964.95,147.0,180.6,-1.7,6.8,179.4,-510.0,504.5,1.87,3.05,3.05,1.0,3.0,-0.438
01a58669o0224o,325.887236127,43.5495187324,>20.24,0.0,3.0,o,22.238,58669.5773475,8115.07,8124.92,188.0,179.2,4.4,6.3,179.2,718.6,601.4,1.85,3.16,3.16,1.0,3.0,-0.425
01a58675o0499o,325.887236127,43.5495187324,>20.23,0.0,3.0,o,22.277,58675.5159816,2413.12,6238.04,198.0,181.6,-14.4,8.1,180.8,-142.4,540.4,1.8,2.96,2.74,1.0,3.0,-0.46
01a58675o0505o,325.887236127,43.5495187324,>20.29,0.0,3.0,o,22.276,58675.5189297,2393.29,6200.48,182.0,181.5,0.9,7.7,178.7,750.0,633.9,1.47,2.95,2.74,1.0,3.0,-0.461
01a58675o0518o,325.887236127,43.5495187324,>20.31,0.0,3.0,o,22.279,58675.5252468,2452.43,6275.96,198.0,180.4,-2.5,7.7,178.6,-517.0,529.9,1.48,2.95,2.7,1.0,3.0,-0.46
01a58675o0548o,325.887236127,43.5495187324,>20.29,0.0,3.0,o,22.277,58675.5396198,2470.25,6159.86,152.0,180.6,-8.4,7.6,179.2,252.9,561.4,1.33,2.99,2.75,1.0,3.0,-0.456
01a58675o0726o,325.887236127,43.5495187324,>18.24,0.0,3.0,o,22.28,58675.6290245,8103.02,4320.58,119.0,190.4,-77.4,48.6,184.7,-6274.3,3619.6,1.11,3.06,2.77,1.0,3.0,-0.45
02a58676o0473o,325.887236127,43.5495187324,None,None,None,o,22.243,58676.5724826,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.457
02a58676o0480o,325.887236127,43.5495187324,>17.67,0.0,3.0,o,22.24,58676.575877,4018.84,10514.9,215.0,142.3,9.7,146.2,177.7,16911.5,6296.9,0.09,2.34,1.96,1.0,3.0,-0.46
02a58676o0501o,325.887236127,43.5495187324,>20.52,0.0,3.0,o,22.277,58676.5857776,151.46,422.47,161.0,179.0,-1.6,10.6,170.6,-1281.0,643.7,1.2,2.36,2.02,1.0,3.0,-0.492
02a58676o0507o,325.887236127,43.5495187324,>20.54,0.0,3.0,o,22.273,58676.5886269,129.43,383.27,181.0,177.1,8.7,9.9,169.7,-1521.3,601.5,1.59,2.39,2.08,1.0,3.0,-0.493
02a58676o0514o,325.887236127,43.5495187324,19.81,0.38,2.36,o,22.241,58676.5918508,4087.87,10473.3,157.0,170.8,40.4,17.1,172.3,-1992.5,889.2,2.02,2.33,1.96,1.0,3.0,-0.461
02a58676o0520o,325.887236127,43.5495187324,>20.58,0.0,3.0,o,22.275,58676.5946017,190.04,457.53,159.0,179.4,3.0,10.0,170.9,-1486.0,618.4,1.78,2.32,2.05,1.0,3.0,-0.492
02a58676o0540o,325.887236127,43.5495187324,>20.53,0.0,3.0,o,22.268,58676.6040103,207.09,336.67,180.0,175.1,6.3,9.5,169.1,-1868.7,556.1,1.13,2.42,2.15,1.0,3.0,-0.478
02a58676o0581o,325.887236127,43.5495187324,20.53,0.73,1.04,o,22.245,58676.6229778,160.09,394.81,255.0,179.9,20.2,19.4,169.9,-3179.6,972.1,1.48,2.32,2.02,1.0,3.0,-0.467
01a58678o0493o,325.887236127,43.5495187324,>18.61,0.0,3.0,o,21.915,58678.5084232,2418.51,6240.8,250.0,247.9,-17.4,21.6,249.2,773.6,2040.4,1.15,3.29,2.96,1.0,3.0,-0.421
01a58678o0513o,325.887236127,43.5495187324,>19.05,0.0,3.0,o,22.181,58678.5183981,2393.27,6202.79,57.0,32.6,-1.1,19.1,32.0,-128.9,1458.5,1.32,3.21,2.92,1.0,3.0,-0.428
01a58678o0520o,325.887236127,43.5495187324,>19.43,0.0,3.0,o,22.182,58678.5219072,2451.68,6277.81,139.0,152.2,3.2,12.8,155.1,1425.9,1141.2,1.44,3.3,2.98,1.0,3.0,-0.419
01a58678o0532o,325.887236127,43.5495187324,>19.76,0.0,3.0,o,22.268,58678.5279853,2468.47,6161.67,169.0,181.1,-21.3,9.7,179.7,-1378.5,843.2,1.46,3.34,3.11,1.0,3.0,-0.42
02a58680o0584o,325.887236127,43.5495187324,>15.8,0.0,3.0,o,22.228,58680.509711,6548.16,25.59,-1629.0,89.5,-225.5,912.7,-1516.6,-260646.0,37022.1,0.03,2.2,1.86,1.0,3.0,-0.465
02a58680o0599o,325.887236127,43.5495187324,>19.27,0.0,3.0,o,22.224,58680.5179142,6570.72,70.35,164.0,137.2,6.2,31.7,164.5,12526.5,1974.9,0.69,2.39,2.01,1.0,3.0,-0.439
02a58680o0600o,325.887236127,43.5495187324,>19.84,0.0,3.0,o,22.241,58680.5183717,10444.5,10153.5,180.0,186.3,-2.4,19.7,189.8,1456.3,1172.7,1.33,2.34,1.98,1.0,3.0,-0.462
02a58680o0601o,325.887236127,43.5495187324,19.8,0.47,1.86,o,22.243,58680.51883,242.77,10148.7,226.0,184.8,41.4,22.2,201.9,6760.9,1273.6,1.91,2.28,1.96,1.0,3.0,-0.463
02a58680o0606o,325.887236127,43.5495187324,None,None,None,o,22.228,58680.5215967,None,None,None,None,None,None,None,None,None,None,None,None,1.0,3.0,-0.46
02a58680o0607o,325.887236127,43.5495187324,>19.67,0.0,3.0,o,22.248,58680.5220544,264.61,10191.5,197.0,189.2,17.5,25.7,218.6,11806.7,1584.2,1.33,2.22,1.89,1.0,3.0,-0.479
02a58680o0616o,325.887236127,43.5495187324,>19.93,0.0,3.0,o,22.251,58680.5264989,140.65,384.21,152.0,182.8,-7.2,19.1,183.6,1199.2,1132.1,1.49,2.34,1.9,1.0,3.0,-0.464
02a58680o0620o,325.887236127,43.5495187324,19.94,0.52,1.62,o,22.248,58680.5287093,201.46,10115.1,262.0,197.0,37.2,23.0,217.1,6448.9,1433.3,1.55,2.27,1.93,1.0,3.0,-0.467
02a58680o0622o,325.887236127,43.5495187324,>19.95,0.0,3.0,o,22.245,58680.5297563,201.8,461.99,187.0,187.6,-0.9,20.2,181.8,-2250.1,1157.2,1.45,2.2,1.86,1.0,3.0,-0.477
02a58680o0626o,325.887236127,43.5495187324,>19.38,0.0,3.0,o,22.228,58680.531774,4104.26,10473.0,213.0,133.2,-2.7,34.6,149.4,3079.8,2016.5,1.41,2.18,1.83,1.0,3.0,-0.464
02a58680o0642o,325.887236127,43.5495187324,>19.55,0.0,3.0,o,22.244,58680.53979,10427.1,347.6,153.0,140.2,5.1,28.1,152.3,5576.1,2556.4,0.94,2.23,1.91,1.0,3.0,-0.465
02a58680o0643o,325.887236127,43.5495187324,>19.94,0.0,3.0,o,22.244,58680.5402471,220.6,342.35,164.0,183.1,-24.3,19.1,183.9,-1317.7,1191.7,1.12,2.26,1.93,1.0,3.0,-0.467
02a58680o0822o,325.887236127,43.5495187324,>14.98,0.0,3.0,o,22.217,58680.6257832,4037.85,10531.4,-3216.0,-156.0,-1145.8,1880.7,-1647.3,-912572.0,127317.0,0.31,2.21,1.88,1.0,3.0,-0.463
02a58680o0829o,325.887236127,43.5495187324,>18.78,0.0,3.0,o,22.258,58680.6290885,10361.4,408.42,50.0,78.9,-13.4,58.8,52.4,-7289.4,3321.8,1.03,2.21,1.89,1.0,3.0,-0.4995
01a58682o0535o,325.887236127,43.5495187324,16.07,0.31,2.98,o,20.926,58682.4819936,5237.63,2583.68,-194.0,-370.2,209.8,70.3,-359.9,15449.7,5607.9,1.16,2.95,2.74,1.0,3.0,-0.474
01a58682o0541o,325.887236127,43.5495187324,>15.79,0.0,3.0,o,20.372,58682.4848485,5216.47,2544.14,616.0,835.1,-100.2,82.6,834.8,473.0,7265.6,1.09,2.99,2.75,1.0,3.0,-0.469
01a58682o0554o,325.887236127,43.5495187324,19.64,0.6,1.34,o,22.152,58682.4910618,5277.88,2621.11,178.0,175.2,23.9,17.8,162.1,-5334.0,1709.1,0.97,3.03,2.79,1.0,3.0,-0.437
01a58682o0578o,325.887236127,43.5495187324,>19.67,0.0,3.0,o,22.262,58682.5025072,5296.39,2503.56,220.0,175.0,9.8,12.7,176.2,1195.3,973.9,1.3,3.05,2.82,1.0,3.0,-0.438
02a58684o0435o,325.887236127,43.5495187324,>20.11,0.0,3.0,o,22.228,58684.4488439,7077.05,2454.94,117.0,179.3,-5.3,14.3,171.6,-770.7,728.5,1.03,2.37,2.08,1.0,3.0,-0.444
02a58684o0441o,325.887236127,43.5495187324,>20.16,0.0,3.0,o,22.229,58684.4517854,7099.55,2494.72,123.0,177.1,-25.6,14.4,179.8,356.4,848.8,1.53,2.31,2.02,1.0,3.0,-0.455
02a58684o0453o,325.887236127,43.5495187324,>20.06,0.0,3.0,o,22.211,58684.4577254,7044.39,2421.77,182.0,176.6,-13.4,14.4,174.9,-674.8,979.6,1.06,2.42,2.09,1.0,3.0,-0.439
02a58684o0478o,325.887236127,43.5495187324,>20.21,0.0,3.0,o,22.235,58684.4694557,7027.11,2539.69,193.0,181.1,-11.0,14.4,180.1,82.2,701.9,1.68,2.28,1.96,1.0,3.0,-0.459
02a58688o0451o,325.887236127,43.5495187324,>20.47,0.0,3.0,o,22.239,58688.4461967,7080.73,2456.21,170.0,179.0,-3.7,12.2,177.1,737.6,686.0,1.32,2.22,1.89,1.0,3.0,-0.476
02a58688o0458o,325.887236127,43.5495187324,20.83,0.62,1.3,o,22.239,58688.449502,7099.5,2490.09,205.0,176.3,16.3,12.5,171.8,-143.6,716.3,1.89,2.27,1.94,1.0,3.0,-0.464
02a58688o0472o,325.887236127,43.5495187324,>20.49,0.0,3.0,o,22.242,58688.4562369,7042.53,2422.44,151.0,176.6,-13.7,11.8,178.1,854.0,701.1,1.6,2.23,1.9,1.0,3.0,-0.472
02a58688o0494o,325.887236127,43.5495187324,>20.46,0.0,3.0,o,22.24,58688.4668477,7025.92,2534.41,156.0,176.0,-22.2,11.6,174.0,102.4,660.7,1.75,2.28,1.95,1.0,3.0,-0.472
01a58690o0512o,325.887236127,43.5495187324,>20.34,0.0,3.0,o,22.281,58690.4727052,7390.54,8390.41,171.0,178.5,-6.5,7.0,176.8,-583.9,594.1,1.41,3.02,2.83,1.0,3.0,-0.45
01a58690o0519o,325.887236127,43.5495187324,>20.32,0.0,3.0,o,22.28,58690.4759413,7372.15,8350.69,169.0,179.1,-16.9,6.9,179.3,-352.5,491.4,1.77,3.07,2.87,1.0,3.0,-0.445
01a58690o0532o,325.887236127,43.5495187324,>20.36,0.0,3.0,o,22.282,58690.4820152,7429.79,8428.78,175.0,181.5,-1.0,7.1,176.4,-1097.7,489.7,1.86,2.97,2.78,1.0,3.0,-0.453
01a58690o0556o,325.887236127,43.5495187324,>20.4,0.0,3.0,o,22.281,58690.4932095,3064.5,2271.72,181.0,177.6,-6.6,6.5,175.8,193.0,590.9,1.93,3.07,2.84,1.0,3.0,-0.436
02a58692o0644c,325.887236127,43.5495187324,21.1,0.6,1.36,c,22.299,58692.5702806,3401.4,4628.93,196.0,181.0,10.1,7.4,180.2,-123.9,492.0,1.78,2.62,2.31,1.0,3.0,-0.423
02a58692o0652c,325.887236127,43.5495187324,>20.74,0.0,3.0,c,22.299,58692.5739853,3381.9,4591.98,206.0,181.7,-2.5,7.4,182.2,-98.5,393.8,1.95,2.48,2.28,1.0,3.0,-0.43
02a58692o0666c,325.887236127,43.5495187324,20.25,0.31,2.97,c,22.296,58692.5804882,3439.48,4666.63,207.0,180.6,23.2,7.8,178.7,477.2,487.5,1.52,2.5,2.29,1.0,3.0,-0.43
02a58692o0688c,325.887236127,43.5495187324,>20.67,0.0,3.0,c,22.289,58692.5906805,3459.23,4549.52,196.0,180.7,3.4,7.3,178.9,-300.8,441.1,1.72,2.6,2.34,1.0,3.0,-0.427
01a58694o0421o,325.887236127,43.5495187324,>20.39,0.0,3.0,o,22.271,58694.481612,7393.26,8392.11,183.0,181.3,-8.9,7.2,179.6,-514.3,470.7,1.96,2.8,2.8,1.0,3.0,-0.456
01a58694o0427o,325.887236127,43.5495187324,20.84,0.64,1.23,o,22.27,58694.4846344,7372.54,8353.49,218.0,178.0,9.5,7.7,177.4,1408.3,593.4,1.46,2.88,2.67,1.0,3.0,-0.459
